"date";"type";"type_display";"details";"amount"
28/10/2018;"PAIEMENTCB";"PAIEMENTCB";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";-12,21 €
17/03/2019;"COMMISSIONS";"COMMISSIONS";"Fusce varius risus nec mattis suscipit";-2 343,22 €
07/03/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur in ex ut dui tempus finibus";228,97 €
08/09/2017;"INTERETS";"INTERETS";"In vehicula eros in neque finibus vel cursus turpis finibus";-4 474,58 €
05/03/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur commodo erat id dolor molestie pharetra";-852,55 €
11/08/2018;"INTERETS";"INTERETS";"Cras pellentesque neque sed dui tincidunt ultricies";590,28 €
18/06/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi nec tortor fermentum posuere mauris non aliquet neque";4 613,26 €
20/09/2017;"COMMISSIONS";"COMMISSIONS";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";874,40 €
01/06/2018;"INTERETS";"INTERETS";"Morbi nec tortor fermentum posuere mauris non aliquet neque";4 956,83 €
24/06/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";-3 892,16 €
12/04/2017;"COMMISSIONS";"COMMISSIONS";"Curabitur elementum sapien id consequat sodales";-4 975,22 €
18/06/2018;"PAIEMENTCB";"PAIEMENTCB";"Curabitur commodo erat id dolor molestie pharetra";-1 832,41 €
02/12/2017;"INTERETS";"INTERETS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";3 211,87 €
10/02/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-2 213,75 €
18/07/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"In vehicula eros in neque finibus vel cursus turpis finibus";543,75 €
12/10/2017;"PAIEMENTCB";"PAIEMENTCB";"Cras pretium erat quis vehicula iaculis";341,97 €
04/05/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pellentesque neque sed dui tincidunt ultricies";-1 336,06 €
03/09/2019;"COMMISSIONS";"COMMISSIONS";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";-3 817,76 €
06/09/2017;"COMMISSIONS";"COMMISSIONS";"Fusce vestibulum purus id congue feugiat";4 969,76 €
18/06/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";-4 283,65 €
20/05/2019;"CHEQUE";"CHEQUE";"Donec nec diam viverra ultrices dui eget cursus est";4 803,17 €
19/02/2017;"CHEQUE";"CHEQUE";"Curabitur commodo erat id dolor molestie pharetra";907,09 €
17/04/2019;"COMMISSIONS";"COMMISSIONS";"Maecenas pharetra justo et tellus faucibus interdum dignissim ante tincidunt";1 751,83 €
02/10/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Lorem ipsum dolor sit amet consectetur adipiscing elit";-1 735,16 €
04/07/2018;"CHEQUE";"CHEQUE";"Integer ullamcorper sapien eu luctus malesuada";-172,01 €
18/02/2018;"INTERETS";"INTERETS";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";-968,65 €
23/11/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce varius risus nec mattis suscipit";-915,27 €
18/08/2018;"PAIEMENTCB";"PAIEMENTCB";"Integer ullamcorper sapien eu luctus malesuada";-2 062,20 €
05/02/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";-382,49 €
18/01/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Donec viverra libero nec consectetur vehicula";-2 906,67 €
15/06/2019;"CHEQUE";"CHEQUE";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";-3 726,38 €
27/05/2019;"INTERETS";"INTERETS";"Curabitur in ex ut dui tempus finibus";3 872,03 €
27/04/2018;"PAIEMENTCB";"PAIEMENTCB";"Fusce vestibulum purus id congue feugiat";-2 168,40 €
10/06/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi in libero quis risus ultricies imperdiet quis ac massa";897,55 €
09/09/2019;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";-3 491,17 €
03/12/2018;"INTERETS";"INTERETS";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";-2 201,22 €
11/12/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras pretium erat quis vehicula iaculis";4 888,09 €
19/07/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur commodo erat id dolor molestie pharetra";3 610,45 €
12/11/2017;"INTERETS";"INTERETS";"Integer ullamcorper sapien eu luctus malesuada";339,84 €
20/05/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Fusce iaculis nibh condimentum aliquet elit ac varius enim";4 439,77 €
17/02/2018;"INTERETS";"INTERETS";"Integer finibus elit quis erat fermentum ac consectetur odio elementum";-4 590,38 €
07/12/2017;"PAIEMENTCB";"PAIEMENTCB";"Donec quis dolor tempor metus suscipit volutpat";325,80 €
21/11/2017;"ECHEANCEPRET";"ECHEANCEPRET";"Donec viverra libero nec consectetur vehicula";4 973,29 €
12/05/2019;"PAIEMENTCB";"PAIEMENTCB";"In vehicula eros in neque finibus vel cursus turpis finibus";-3 852,83 €
10/09/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Curabitur elementum sapien id consequat sodales";-1 789,78 €
14/05/2019;"CHEQUE";"CHEQUE";"Curabitur elementum sapien id consequat sodales";-1 412,46 €
20/12/2018;"COMMISSIONS";"COMMISSIONS";"Integer ullamcorper sapien eu luctus malesuada";-4 223,48 €
14/08/2018;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi at est tristique tempor lectus nec pulvinar ex";-2 143,71 €
21/05/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Donec vel lacus nec nisl placerat suscipit";3 800,77 €
02/08/2019;"CHEQUE";"CHEQUE";"Etiam nec velit quis nulla sagittis fermentum";266,57 €
02/09/2017;"COMMISSIONS";"COMMISSIONS";"Cras eget nisi id nibh placerat consectetur";-772,05 €
01/06/2018;"COMMISSIONS";"COMMISSIONS";"Nam efficitur sem in sapien lacinia eget fringilla turpis fringilla";4 152,73 €
12/02/2019;"INTERETS";"INTERETS";"Cras pretium erat quis vehicula iaculis";2 027,29 €
11/07/2018;"COMMISSIONS";"COMMISSIONS";"Integer ullamcorper sapien eu luctus malesuada";-2 806,22 €
06/07/2018;"CHEQUE";"CHEQUE";"Morbi in libero quis risus ultricies imperdiet quis ac massa";-3 714,13 €
16/04/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Fusce vestibulum purus id congue feugiat";4 371,49 €
02/12/2018;"CHEQUE";"CHEQUE";"Donec efficitur libero ut mauris congue at sodales urna sodales";183,37 €
03/03/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Morbi in libero quis risus ultricies imperdiet quis ac massa";2 766,44 €
11/06/2017;"COMMISSIONS";"COMMISSIONS";"Integer porta ipsum a lorem viverra eu volutpat metus volutpat";3 202,45 €
18/01/2017;"COMMISSIONS";"COMMISSIONS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";3 028,33 €
11/09/2018;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Cras eget nisi id nibh placerat consectetur";-3 305,29 €
17/08/2017;"OPERATIONSDIVERSES";"OPERATIONSDIVERSES";"Morbi tempor augue vel mi blandit molestie";1 709,83 €
06/02/2019;"ECHEANCEPRET";"ECHEANCEPRET";"Donec quis dolor tempor metus suscipit volutpat";4 663,06 €
07/10/2019;"COMMISSIONS";"COMMISSIONS";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";-77,00 €
04/01/2018;"PAIEMENTCB";"PAIEMENTCB";"Donec viverra libero nec consectetur vehicula";602,34 €
06/07/2018;"COMMISSIONS";"COMMISSIONS";"Donec nec diam viverra ultrices dui eget cursus est";-3 204,79 €
21/10/2018;"CHEQUE";"CHEQUE";"Morbi porttitor velit et dui ultrices vitae faucibus magna iaculis";4 086,08 €
04/05/2019;"INTERETS";"INTERETS";"Cras pellentesque neque sed dui tincidunt ultricies";-2 397,75 €
